id,rtyp_a,c008_form_m,c008_dat1_m,c008_dat2_m,c008_dat1_sub,c008_lang_m,c008_ctry_m,v1x0_inv,v1x0_typo,v7x0_m,v7x0_half,v245b_m,v245c_m,v245_typo,v250_m,v250_mov,v26x_ntok_m,v26x_unk,v26x_typo,v300bc_m,nb_errors,rm_score_clean,rm_score_dirty,rm_score_diff,dm_prob_clean,dm_prob_dirty,dm_score_diff
49780,,1,,,,1,1,,,,,,,,,,,,,,3,0.8611,0.6111,0.2500,0.9256,0.3891,0.5365
47052,,,1,1,,,1,,,,,,1,,1,,,,,1,6,0.8333,0.6944,0.1389,0.9731,0.4394,0.5336
47495,,1,1,,,,1,,,,,,,,,,,,1,1,5,0.7500,0.6667,0.0833,0.7567,0.2267,0.5300
46138,,,,1,,1,,,,1,,,,,,,1,,,1,5,0.8333,0.5833,0.2500,0.8374,0.3111,0.5263
46705,,1,1,,,,,,,,,,,,,,1,,,1,4,0.7917,0.6250,0.1667,0.5883,0.0630,0.5253
47585,,,1,,,1,,,,1,,,1,,,,,1,,1,6,0.8333,0.6667,0.1667,0.7350,0.2100,0.5250
47849,,,1,,,1,1,,1,,,,,,,,,1,,,5,0.8333,0.5000,0.3333,0.8855,0.3626,0.5229
49624,,,,,,1,1,,,,1,1,,,,,1,1,,1,7,0.9167,0.5000,0.4167,0.9191,0.3971,0.5220
46908,,,,,,1,1,,,,,,,,,1,,,,1,4,0.8333,0.5833,0.2500,0.6299,0.1090,0.5210
47162,,1,,,,,1,,,,,1,,,,,1,,,,4,0.9167,0.7244,0.1923,0.9799,0.4616,0.5183
49261,,,,,1,1,1,,,,1,,,,1,,1,,,,6,0.8056,0.3889,0.4167,0.8874,0.3714,0.5161
46618,,1,,,,1,,,,,,,,,,,1,,,,3,0.9167,0.6667,0.2500,0.8692,0.3535,0.5158
48917,,1,,,,1,1,,,,,1,,,,,1,,,1,6,0.8611,0.4444,0.4167,0.7702,0.2544,0.5158
49814,,,,,,1,1,,,,,,,,,,1,,,1,4,0.8611,0.5833,0.2778,0.7413,0.2261,0.5151
47332,,1,,,,1,1,,,,,,,,,,,,,1,4,0.8030,0.6641,0.1389,0.7102,0.1982,0.5120
48027,,,,,,1,,,,,,,,,,,1,,,1,3,0.8333,0.6667,0.1667,0.7871,0.2786,0.5085
47949,,1,,,1,1,1,,,,,,,,,,,,,,4,0.7721,0.5221,0.2500,0.9163,0.4080,0.5083
48116,,1,,,1,,1,,,,,,,,,1,1,,,,5,0.7500,0.6667,0.0833,0.9032,0.3953,0.5078
49767,,,1,1,,,1,1,,,,,,,,1,1,,,,6,0.7778,0.6111,0.1667,0.9423,0.4363,0.5060
49113,,1,,,,,1,,,,,,,,,,1,,,,3,0.7500,0.5833,0.1667,0.8575,0.3516,0.5059
49727,,1,,,1,1,,,1,,,1,,,1,,1,,,,7,0.7500,0.5000,0.2500,0.9618,0.4571,0.5047
49404,,1,,,,1,,1,,,,,,,,,,,,,3,0.8056,0.6389,0.1667,0.9614,0.4601,0.5012
49115,,1,,,,1,1,,,,,,1,,,,,,,,4,0.7500,0.5000,0.2500,0.8139,0.3134,0.5005
47707,,1,1,,,,,,1,,,,,,,,1,,,,4,0.7917,0.7250,0.0667,0.9837,0.4843,0.4994
47102,,1,,,1,,1,,,,,,,,,,,,,,3,0.7857,0.6190,0.1667,0.7951,0.2987,0.4964
47777,,,,1,1,1,1,1,,,,,,,,,1,,,1,7,0.9167,0.6667,0.2500,0.8468,0.3526,0.4942
49561,,,1,,,1,,,,,,,,,,,1,,,1,4,0.8750,0.6667,0.2083,0.9165,0.4254,0.4910
46844,1,,,,,,1,,,,,,,,,,1,,,1,4,0.9167,0.6667,0.2500,0.8387,0.3503,0.4884
47595,,,1,1,,1,1,1,,,,,1,,,,,,1,,7,0.7917,0.6000,0.1917,0.8122,0.3241,0.4882
46506,,1,,,,1,,,,1,,1,,,,,1,,,1,6,0.8750,0.5278,0.3472,0.9465,0.4617,0.4848
49837,1,1,1,,,1,1,,,,,1,,,,,1,,,,7,0.7500,0.3333,0.4167,0.9753,0.4912,0.4840
47336,,1,,,,,1,,,,,,1,,,,,,,,3,0.8571,0.6905,0.1667,0.9514,0.4695,0.4819
46047,,1,,,,,1,,,,,,,,,,,,,,2,0.8944,0.7278,0.1667,0.8122,0.3330,0.4793
48821,,,1,,,1,1,,,,,,,,,,1,,,,4,0.7500,0.6667,0.0833,0.7624,0.2834,0.4790
48601,1,1,,,1,1,1,,,,,,,,,,,,1,,6,0.7500,0.5833,0.1667,0.8802,0.4049,0.4753
49125,,1,,,,,,,,,,,,,,,,,,1,2,0.8030,0.7197,0.0833,0.9453,0.4719,0.4734
48986,,1,,,,,,,,,,,,,,,1,,,,2,0.8796,0.7130,0.1667,0.9010,0.4291,0.4719
45260,,1,,,,,1,,,,,,,,,,,,,,2,0.7917,0.7083,0.0833,0.9404,0.4724,0.4681
47847,,,1,1,,1,,,,,,,,,,1,,,,,4,0.7500,0.6667,0.0833,0.6253,0.1580,0.4672
49183,,1,,,1,1,,,,,,,,,,,,,,1,4,0.8690,0.7024,0.1667,0.9452,0.4802,0.4650
47909,,1,,,1,1,1,,,1,,,,,,,,,,,5,1.0000,0.6667,0.3333,0.9536,0.4886,0.4650
45978,,1,1,,,1,,,,,,1,,,,,,,,,4,0.8833,0.6542,0.2292,0.6663,0.2018,0.4645
46190,,1,1,,,,,,1,,,,1,,,,1,,,,5,0.7857,0.7024,0.0833,0.9689,0.5192,0.4497
47423,,,1,,,1,1,1,,,,,,,,,1,,,,5,0.8611,0.6667,0.1944,0.8646,0.4200,0.4445
48302,,,,,1,,1,,,,,,,,,,,1,,1,4,0.7556,0.7278,0.0278,0.8245,0.3832,0.4413
49664,,,,,,,1,,,,,,,,1,,1,,,,3,0.8000,0.6000,0.2000,0.6368,0.2052,0.4316
46580,,1,,1,1,,1,,,,,,,,1,,1,,,,6,0.8333,0.6667,0.1667,0.9421,0.5120,0.4301
49497,,,,,,,,,,,,1,,,,,1,,,1,3,0.7500,0.5833,0.1667,0.8682,0.4415,0.4267
47465,,1,,,,1,,,,,,,,,,,,,,,2,0.8333,0.6667,0.1667,0.8253,0.4038,0.4215
49161,,1,,,1,1,1,,,,,,1,,,,,,,,5,0.8833,0.6333,0.2500,0.9876,0.5714,0.4162
48916,,1,1,,,1,1,,,1,,,,,,,1,,,,6,0.9444,0.5833,0.3611,0.7063,0.2918,0.4145
48968,,1,1,,,,1,1,,,,,,,1,,1,,,,6,0.8929,0.6429,0.2500,0.9771,0.5644,0.4128
49182,,1,,,,,1,,1,,,,1,,,,1,,,1,6,0.7500,0.5833,0.1667,0.9795,0.5725,0.4070
49666,,,,,,,1,,,,,,,,1,,,,,1,3,0.7778,0.6111,0.1667,0.5894,0.1857,0.4037
46246,,,,,1,1,1,1,,,,,,,,,1,,,1,6,0.8833,0.6667,0.2167,0.7609,0.3581,0.4027
48218,,,,,1,,,,,1,,,1,,,,1,,,1,5,0.7500,0.6667,0.0833,0.8594,0.4596,0.3998
49910,,,1,,,1,1,,,,,,,,,,1,,,,4,0.8556,0.6222,0.2333,0.9551,0.5590,0.3962
47758,,1,,,,1,1,1,,,,,,1,,,,,,,5,0.8750,0.5417,0.3333,0.6953,0.2998,0.3955
48551,,,,1,1,,1,,,,,,1,,,,,,,1,5,0.7778,0.6944,0.0833,0.8137,0.4194,0.3943
48857,,1,,,,1,,,,,,,1,,,,,1,,,4,0.9744,0.7244,0.2500,0.7037,0.3112,0.3925
47333,,1,1,,,1,1,,,1,,,1,,,,1,,,,7,0.7500,0.5833,0.1667,0.9539,0.5751,0.3787
47856,,,1,,,1,,,,1,,,1,,,,,,,1,5,0.8194,0.6528,0.1667,0.9595,0.5816,0.3779
48397,,,,,,1,1,,,,,,,,,,1,,,,3,0.7667,0.5833,0.1833,0.7245,0.3477,0.3768
49581,,,,1,1,,1,,,,,,,1,,,1,,,,5,0.7500,0.5635,0.1865,0.8825,0.5151,0.3675
